trials,ID,session,outcome,response,confidence
192,20,1,55,19.0,0.0676053605402558
193,20,1,42,39.0,0.0676662802898136
194,20,1,24,36.0,0.634263650741559
195,20,1,30,29.0,1.0011528400355
196,20,1,57,32.0,0.100913564477196
197,20,1,47,24.0,0.0343931714260179
198,20,1,67,31.0,0.767503419287095
199,20,1,34,25.0,0.100924821386798
200,20,1,71,34.0,0.634275900908506
201,20,1,64,31.0,0.101015869925504
202,20,1,64,55.0,1.40087644978303
203,20,1,55,61.0,1.40089366623306
204,20,1,51,51.0,1.40092147742325
205,20,1,63,42.0,0.0676854832545359
206,20,1,90,56.0,0.934273219115312
207,20,1,51,68.0,0.0675815223776226
208,20,1,71,57.0,1.40092611262116
209,20,1,65,63.0,0.0676083403113807
210,20,1,88,63.0,0.900930582277397
211,20,1,53,67.0,0.100928132243098
212,20,1,81,57.0,0.867620060741501
213,20,1,81,61.0,0.0675950968870893
214,20,1,57,81.0,1.40098637019946
215,20,1,100,68.0,0.0676268811048431
216,20,1,85,99.0,0.0676649559472935
217,20,1,55,84.0,0.767638833293859
218,20,1,46,82.0,0.801137742532774
219,20,1,90,59.0,0.76757261617513
220,20,1,89,58.0,0.100887408715607
221,20,1,71,85.0,0.734161113533446
222,20,1,93,81.0,0.767518649223348
223,20,1,64,92.0,0.867532985230355
224,20,1,83,73.0,0.567558180843662
225,20,1,97,82.0,0.800942070946803
226,20,1,77,87.0,0.867605161889514
227,20,1,100,86.0,0.734288912572083
228,20,1,68,97.0,0.634295766044488
229,20,1,63,83.0,0.867846854372146
230,20,1,68,71.0,0.0676195972209825
231,20,1,67,72.0,0.400977430888815
232,20,1,54,75.0,1.40078838101454
233,20,1,73,67.0,0.0349123136356866
234,20,1,73,77.0,0.800912604329824
235,20,1,82,78.0,1.4008165232899
236,20,1,84,83.0,0.967605923386145
237,20,1,67,80.0,1.40099729602389
238,20,1,70,78.0,0.601233558702916
239,20,1,53,78.0,0.767735179201736
240,20,1,80,72.0,0.101141351365186
1,20,2,42,71.0,1.42225567663718
2,20,2,51,46.0,0.834153654429429
3,20,2,54,46.0,1.40130851864797
4,20,2,43,40.0,0.900831092432327
5,20,2,62,39.0,1.09897356674492
6,20,2,49,46.0,0.167693806239186
7,20,2,55,40.0,0.767615272606236
8,20,2,46,48.0,0.800955315952251
9,20,2,47,43.0,1.06775578556471
10,20,2,58,43.0,1.13429549173225
11,20,2,49,47.0,0.0676114320071974
12,20,2,20,43.0,0.767605671107958
13,20,2,12,40.0,0.100912407188389
14,20,2,22,20.0,0.300977498724023
15,20,2,13,18.0,1.40086850516627
16,20,2,30,12.0,1.40094962127023
17,20,2,27,19.0,1.13418722656434
18,20,2,19,16.0,0.734271587312833
19,20,2,30,21.0,1.23426364124543
20,20,2,16,23.0,0.96761116713833
21,20,2,12,12.0,1.23428615510329
22,20,2,14,15.0,1.20096200389207
23,20,2,16,13.0,0.96769327650145
24,20,2,20,12.0,0.800981140670956
25,20,2,20,11.0,0.067538593055815
26,20,2,23,12.0,0.934374422668498
27,20,2,8,17.0,0.567594215528061
28,20,2,39,8.0,0.267625205190598
29,20,2,40,19.0,0.300911281495701
30,20,2,14,36.0,1.40093968868632
31,20,2,47,32.0,0.0675995129063267
32,20,2,42,42.0,0.767670563991942
33,20,2,51,41.0,1.40093836434153
34,20,2,38,45.0,0.401593583815611
35,20,2,39,46.0,0.867647652830783
36,20,2,40,40.0,1.03423629353028
37,20,2,39,39.0,1.13423059884872
38,20,2,34,40.0,1.40114529318043
39,20,2,76,29.0,1.40091849917326
40,20,2,51,34.0,0.100786263368263
41,20,2,67,51.0,0.567643547362877
42,20,2,27,66.0,0.134304762144438
43,20,2,56,41.0,0.434317806937997
44,20,2,49,48.0,0.16759282496605
45,20,2,59,50.0,0.934421105814636
46,20,2,63,58.0,0.83427847390476
47,20,2,96,55.0,0.734279533380686
48,20,2,100,68.0,0.101029611681952
49,20,2,100,98.0,1.40091982351805
50,20,2,90,99.0,1.40095856059634
51,20,2,80,96.0,1.40092876284371
52,20,2,100,93.0,0.667486546314649
53,20,2,88,92.0,0.534240597650296
54,20,2,52,97.0,1.40098074336765
55,20,2,57,27.0,0.067617060471548
56,20,2,45,76.0,0.167631562044789
57,20,2,48,37.0,0.2009467739299
58,20,2,58,47.0,0.867671159947349
59,20,2,67,58.0,0.834253311358225
60,20,2,44,60.0,1.40094730366764
61,20,2,63,62.0,1.40085493063407
62,20,2,66,60.0,1.36759997642685
63,20,2,41,66.0,1.26765301642672
64,20,2,47,45.0,0.100969354004519
65,20,2,65,41.0,1.40077282127095
66,20,2,64,41.0,0.134350783117952
67,20,2,44,66.0,0.867614875302934
68,20,2,50,66.0,0.800872875503046
69,20,2,51,57.0,0.100946177974947
70,20,2,63,56.0,1.40100491265639
71,20,2,86,61.0,1.00124256628851
72,20,2,39,67.0,0.100996503068018
73,20,2,53,74.0,0.0675518365019343
74,20,2,94,61.0,1.00127799250549
75,20,2,60,77.0,0.0342505302346581
76,20,2,49,65.0,1.1009743202967
77,20,2,36,57.0,0.0675061466140505
78,20,2,1,38.0,0.0676339458650546
79,20,2,19,62.0,0.134139550159944
80,20,2,17,22.0,0.567644871707216
81,20,2,15,13.0,1.40087380254408
82,20,2,37,13.0,1.23423152588975
83,20,2,67,27.0,0.100962401195829
84,20,2,64,63.0,0.0675958709584847
85,20,2,35,62.0,0.734354358848123
86,20,2,79,28.0,0.0674627743296696
87,20,2,34,75.0,0.0676031548537139
88,20,2,29,75.0,0.500899892132111
89,20,2,33,30.0,0.967509192606485
90,20,2,24,30.0,1.40088671490366
91,20,2,28,27.0,1.40101418306813
92,20,2,17,29.0,1.40098835834897
93,20,2,26,25.0,0.967726716201923
94,20,2,21,18.0,1.16760375080867
95,20,2,41,19.0,0.800881814828699
96,20,2,82,42.0,0.0676458649654705
97,20,2,68,83.0,0.134706369633477
98,20,2,51,74.0,0.500955183517362
99,20,2,60,53.0,0.534303835103401
100,20,2,83,67.0,1.00091181123344
101,20,2,52,81.0,0.0675634245162655
102,20,2,29,79.0,0.100965049884508
103,20,2,40,33.0,0.734156038249694
104,20,2,60,42.0,0.734301716152004
105,20,2,39,58.0,0.634275626563976
106,20,2,38,30.0,0.167568324591684
107,20,2,31,41.0,0.200926577675091
108,20,2,57,29.0,0.33429767690086
109,20,2,78,50.0,0.867611564441631
110,20,2,24,75.0,0.134317012331394
111,20,2,47,45.0,0.101032922543709
112,20,2,62,8.0,0.10094286711319
113,20,2,95,61.0,0.767646725789746
114,20,2,31,78.0,0.100960414678866
115,20,2,37,40.0,0.0675842829436988
116,20,2,21,37.0,0.367604942719026
117,20,2,65,18.0,0.267524886089632
118,20,2,67,68.0,0.634308404091826
119,20,2,17,69.0,0.534285625365555
120,20,2,64,44.0,0.100981273105845
121,20,2,43,11.0,2.48314609052613e-5
122,20,2,28,27.0,0.201033518498662
123,20,2,52,35.0,0.534297544466426
124,20,2,63,41.0,0.334219540571667
125,20,2,56,67.0,0.0679425181483566
126,20,2,59,60.0,0.16751766841162
127,20,2,41,59.0,0.134275295477892
128,20,2,48,40.0,0.100913069360558
129,20,2,34,51.0,0.834453287387078
130,20,2,84,35.0,0.100973989210615
131,20,2,71,43.0,0.0675078020449291
132,20,2,78,71.0,0.834245365290826
133,20,2,55,18.0,0.100969685091059
134,20,2,58,73.0,1.40092081677631
135,20,2,48,66.0,1.40093770216936
136,20,2,51,61.0,1.00098200149523
137,20,2,66,58.0,1.16757560848646
138,20,2,63,62.0,1.33432118401697
139,20,2,62,64.0,1.40095657407937
140,20,2,62,61.0,1.40092280329327
141,20,2,57,64.0,1.40090326921063
142,20,2,58,56.0,0.367662220621241
143,20,2,59,63.0,1.26767089507803
144,20,2,61,65.0,1.40088572164541
145,20,2,75,64.0,1.40082612613969
146,20,2,66,65.0,1.06766639230682
147,20,2,90,73.0,1.20085572524113
148,20,2,78,67.0,0.0680087353766794
149,20,2,93,85.0,0.101029280595867
150,20,2,70,90.0,1.40105788643859
151,20,2,100,81.0,1.40093141153284
152,20,2,75,93.0,1.40093836434153
153,20,2,59,76.0,0.300948363143107
154,20,2,85,94.0,0.0676561286363722
155,20,2,69,62.0,0.100842216926139
156,20,2,42,79.0,0.867602956202063
157,20,2,50,79.0,0.267727179722442
158,20,2,74,51.0,0.401089670708188
159,20,2,75,77.0,0.167481580022468
160,20,2,54,76.0,1.06766606122073
161,20,2,62,68.0,0.0675985196476176
162,20,2,51,65.0,1.03428628753773
163,20,2,34,63.0,0.100838243892667
164,20,2,62,36.0,0.700855725240672
165,20,2,75,60.0,0.467656857025759
166,20,2,49,77.0,1.06764553387984
167,20,2,51,44.0,0.101268655876083
168,20,2,67,52.0,1.06762368219461
169,20,2,76,65.0,0.934181730534419
170,20,2,55,76.0,1.03428761188252
171,20,2,65,73.0,1.10088095400488
172,20,2,56,74.0,0.834210601245559
173,20,2,63,59.0,0.167435227962869
174,20,2,23,63.0,0.867659903018193
175,20,2,84,21.0,0.0676836087859556
176,20,2,91,17.0,0.0343250246164644
177,20,2,40,93.0,1.40088340404236
178,20,2,94,90.0,1.40103007520293
179,20,2,60,92.0,1.40093141153284
180,20,2,55,93.0,1.4009300871885
181,20,2,56,62.0,0.100913069360558
182,20,2,87,62.0,1.40094829692634
183,20,2,72,64.0,1.03432866656385
184,20,2,52,68.0,1.40084566022188
185,20,2,58,51.0,1.40133964074539
186,20,2,90,62.0,1.40089234336801
187,20,2,57,69.0,1.40103636583945
188,20,2,43,58.0,1.4009231343789
189,20,2,100,52.0,0.667640832456527
190,20,2,64,8.0,0.134252781620035
191,20,2,23,66.0,0.467675728935774
192,20,2,59,60.0,0.134211726938702
193,20,2,66,64.0,0.734339459972034
194,20,2,66,64.0,0.834246027462996
195,20,2,68,65.0,1.40093935760024
196,20,2,73,70.0,1.4009231343789
197,20,2,72,74.0,1.40096783100807
198,20,2,54,76.0,1.40092810067154
199,20,2,74,64.0,0.867613219872055
200,20,2,62,70.0,0.734237816526274
201,20,2,63,62.0,0.100950151008419
202,20,2,43,64.0,1.36766321387995
203,20,2,49,62.0,0.134256092481792
204,20,2,92,50.0,0.101033915802418
205,20,2,49,76.0,0.834201993006445
206,20,2,67,51.0,0.133830977876187
207,20,2,38,61.0,0.134644456525621
208,20,2,34,43.0,0.134325620571417
209,20,2,30,26.0,0.600851818424417
210,20,2,30,29.0,1.40078606471661
211,20,2,41,31.0,1.4009989531055
212,20,2,40,33.0,1.40095491864895
213,20,2,34,31.0,1.40104298756251
214,20,2,32,34.0,1.40100623700073
215,20,2,49,24.0,1.40090293812455
216,20,2,50,40.0,0.134617969634292
217,20,2,41,44.0,0.834430111357506
218,20,2,33,44.0,1.40096319580243
219,20,2,36,37.0,1.40088903250671
220,20,2,48,32.0,1.40084234936103
221,20,2,40,39.0,1.40094763475372
222,20,2,40,32.0,1.06766606122028
223,20,2,41,33.0,0.134198152406498
224,20,2,43,39.0,1.40080857857447
225,20,2,38,29.0,1.40131679580145
226,20,2,39,30.0,1.13411372544078
227,20,2,39,28.0,0.900845660221876
228,20,2,25,34.0,0.134313370384007
229,20,2,39,18.0,0.701285475052373
230,20,2,28,26.0,1.40086982951061
231,20,2,42,27.0,1.40089101902367
232,20,2,28,31.0,1.33429403495347
233,20,2,31,26.0,1.33426092633954
234,20,2,31,26.0,1.40088770816237
235,20,2,42,31.0,1.23427655360547
236,20,2,34,29.0,1.2676060021945
237,20,2,37,27.0,1.33416325592771
238,20,2,39,30.0,0.834604262667654
239,20,2,38,30.0,0.100989550259328
240,20,2,31,36.0,1.40091618157066
1,20,3,100,76.0,0.0362413392031158
2,20,3,90,95.0,1.40067634254592
3,20,3,60,88.0,1.4008296353777
4,20,3,73,84.0,0.134118316242166
5,20,3,83,79.0,1.43246060158981
6,20,3,82,83.0,1.40096107653335
7,20,3,80,78.0,1.33437007406064
8,20,3,78,78.0,1.40102961134198
9,20,3,86,73.0,1.40101007726571
10,20,3,84,76.0,1.1344258951658
11,20,3,98,78.0,1.10097428686549
12,20,3,93,83.0,1.00101345434359
13,20,3,100,79.0,0.767634221449953
14,20,3,68,90.0,1.40102332070728
15,20,3,65,61.0,0.100994814199112
16,20,3,70,64.0,0.900908930482728
17,20,3,91,68.0,1.16772785257854
18,20,3,76,85.0,0.101010375243277
19,20,3,100,76.0,0.534322861190958
20,20,3,86,92.0,0.167532842906439
21,20,3,95,87.0,0.801306001960256
22,20,3,85,88.0,1.13432259632282
23,20,3,80,77.0,0.134610310085918
24,20,3,84,74.0,1.00095253451218
25,20,3,85,90.0,0.767660708332187
26,20,3,60,81.0,1.06763326130022
27,20,3,82,61.0,0.167975173844752
28,20,3,90,78.0,0.200980809260727
29,20,3,96,83.0,0.534298360826142
30,20,3,94,89.0,0.600993324313094
31,20,3,70,91.0,1.03415847697761
32,20,3,79,80.0,0.334576340659623
33,20,3,76,84.0,0.867652331855425
34,20,3,88,77.0,0.667669415894125
35,20,3,93,86.0,0.834211980480177
36,20,3,66,89.0,1.10095640822146
37,20,3,61,75.0,0.0676233287176728
38,20,3,71,71.0,0.500871915064636
39,20,3,90,72.0,0.901036067518362
40,20,3,62,78.0,0.66788164204263
41,20,3,100,67.0,0.33431809355352
42,20,3,68,38.0,0.101144796171866
43,20,3,54,77.0,0.0677087489148107
44,20,3,75,89.0,0.534269887428309
45,20,3,70,73.0,1.40089320389598
46,20,3,73,72.0,1.4010395439218
47,20,3,72,75.0,1.40099550948071
48,20,3,89,72.0,1.40078858070956
49,20,3,72,87.0,0.0679825570623507
50,20,3,73,66.0,1.40084618967921
51,20,3,72,77.0,1.40100544205961
52,20,3,72,71.0,1.40096438739238
53,20,3,81,72.0,1.40097796192094
54,20,3,81,80.0,1.20097683622771
